INCLUIDO/ RDC 35/2012 CAP V ART 10
INCLUIDO/ RDC 35/2012 CAP V ART 11-I
INCLUIDO/RDC 35/2012 CAP V ART 11-II
INCLUIDO/ RDC 35/2012 CAP V ART 11-III
LISTA DE MEDICAMENTOS DE REFERÊNCIA,"","","","",""
FÁRMACO,DETENTOR,"",NOME COMERCIAL,CONCENTRAÇÃO,FORMA FARMACÊUTICA,DATA INCLUSÃO
Terbutalina (sulfato),Astrazeneca,BRICANYL,10mg/mL,sol inal got,12/11/2012
Terbutalina (sulfato),Astrazeneca,BRICANYL,"2,5mg",com,12/11/2012
Terbutalina (sulfato),Astrazeneca,BRICANYL DURILES,"5,0mg",com abs retard,12/11/2012
Terbutalina (sulfato),Astrazeneca,BRICANYL TURBUHALER,"0,5mg/dose",inal po inal or,12/11/2012
Terbutalina (sulfato),União Química,TERBUTIL,"0,5mg/mL",sol inj,13/09/2013
Terconazol,Janssen Cilag,GYNO-FUNGIX,"8,0mg/g",crem vag,12/11/2012
Terlipressina (acetato),Ferring,GLYPRESSIN,1mg,po liof sol inj,12/11/2012
Testosterona (cipionato),Germed,DEPOSTERON,100mg/mL,sol inj,12/11/2012
Tiamazol,Biolab Sanus,TAPAZOL,"5,0 | 10mg",comp,31/01/2013
Tianfenicol,Zambon,GLITISOL,500mg,cap mole,12/11/2012
Tianfenicol,Zambon,GLITISOL,"2,5g",gran simples,12/11/2012
Tibolona,Akzo Organon,LIVIAL,"2,5mg",com,12/11/2012
Tibolona,Libbs,LIBIAM,"1,25mg",comp,12/11/2012
Ticlopidina (cloridrato),Sanofi-Aventis,TICLID,250mg,com rev,12/11/2012
Tigeciclina,Wyeth,TYGACIL,50mg,po liof sol inj,12/11/2012
Timolol (maleato),Merck Sharp & Dohme,TIMOPTOL,"2,5 | 5,0 mg/g",sol oft,12/11/2012
Tinidazol,Pfizer,PLETIL,500 | 1000 mg,com rev,12/11/2012
Tiocolchicosídeo,Sanofi-Aventis,COLTRAX,2mg/mL,sol inj,12/11/2012
Tiocolchicosídeo,Sanofi-Aventis,COLTRAX,4mg,com,12/11/2012
Tioconazol,Pfizer,TRALEN,10mg/mL,crem derm,12/11/2012
Tioconazol,Pfizer,TRALEN,10mg/mL,crem derm,12/11/2012
Tioconazol,Pfizer,TRALEN,10mg/mL,po dermat,12/11/2012
Tioconazol,Pfizer,TRALEN,280mg/g,sol top,12/11/2012
Tioguanina,Aspen,LANVIS,40mg,com,12/11/2012
Tipranavir,Boehringer Ingelheim,ELODIUS,250mg,cap gel mole,30/04/2013
Tipranavir,Boehringer Ingelheim,ELODIUS,100mg/ml,sol or,30/04/2013
Tioridazina (cloridrato),Valeant,MELLERIL,10 | 25 | 50 | 100 mg,drag,12/11/2012
Tioridazina (cloridrato),Valeant,MELLERIL,200mg,com lib retard,12/11/2012
Tioridazina (cloridrato),Valeant,MELLERIL,30mg/g,sol or,12/11/2012
Tiotrópio (brometo)--monohidratado,Boehringer Ingelheim,SPIRIVA RESPIMAT,"2,5mcg/dose",sol aer inal or +inal,12/11/2012
Tirofibrana (cloridrato),Aspen Pharma,AGRASTAT,"0,25mg/ml",sol p inf iv,12/11/2012
Tizanidina (cloridrato),Novartis Biociências,SIRDALUD,2mg,com,12/11/2012
Tobramicina,Alcon,TOBREX,3mg/mL,sol oft,12/11/2012
Tobramicina,Alcon,TOBREX,3mg/mL,pom oft,12/11/2012
Tobramicina,Chiesi,BRAMITOB,75mg/ml,sol inal,22/01/2013
Tobramicina,United Medical,TOBI,60mg/mL,sol inal,12/11/2012
Tolcapona,Valeant,TASMAR,100mg,com rev,08/03/2013
Tolterodina (tartarato),Pfizer,DETRUSITOL,"1,0 | 2,0 mg",com rev,12/11/2012
"",Pfizer,DETRUSITOL LA,"4,0 mg",cap dura lib prol,12/11/2012
Topiramato,Janssen Cilag,TOPAMAX,25 | 50 | 100 mg,com rev,12/11/2012
Topotecano (cloridrato),Glaxosmithkline,HYCAMTIN,4mg,po liof sol inj,12/11/2012
Tramadol (cloridrato),Pfizer,TRAMAL,100mg/mL,sol or (gotas),12/11/2012
Tramadol (cloridrato),Pfizer,TRAMAL,50mg,cap dura,12/11/2012
Tramadol (cloridrato),Pfizer,TRAMAL,50mg/mL,sol inj,12/11/2012
Tramadol (cloridrato),Pfizer,TRAMAL  RETARD,100mg,com rev,12/11/2012
Travoprosta,Alcon,TRAVATAN,"0,04mg/mL",sol oft,12/11/2012
Trazodona (cloridrato),Apsen,DONAREN,50 | 100 mg,com rev,12/11/2012
Trazodona (cloridrato),Apsen,DONAREN RETARD,150mg,com lib cont,21/01/2013
Tretinoína,Stiefel,VITANOL A,"0,25 | 0,50 | 1,0 mg/g",gel,12/11/2012
Tretinoína,Stiefel,VITANOL A,"0,25 | 0,50 | 1,0 mg/g",crem derm,12/11/2012
Triancinolona acetonida,Aché,AIRCLIN,"0,5mcg/dose",sol spr nas,12/11/2012
Triancinolona acetonida,Bristol Myers Squibb,OMCILON-A ORABASE,1mg/g,pasta,12/11/2012
Triancinolona acetonida,Sanofi-Aventis,NASACORT,55mcg/mL,susp spr nas,12/11/2012
Trimebutina (maleato),Cosmed,DIGEDRAT,200mg,cap mole,19/02/2013
Trimetazidina ( dicloridrato),Servier,VASTAREL,20 mg,com revestido,19/04/2013
Trimetazidina ( dicloridrato),Servier,VASTAREL MR,35 mg,com revestido,19/04/2013
Trióxido de arsênio,Zodiac,Trisenox,1mg/ml,sol inj,12/11/2012
Triptorelina(embonato),Aché,NEO DECAPEPTYL,"3,75mg",po liof sol inj,12/11/2012
Triptorelina(acetato),Ferring,GONAPEPTYL DAILY,"0,1mg/ml",sol inj,12/11/2012
Trometamol (fosfomicina),Zambon,MONURIL,3g,gran,12/11/2012
Trometamol cetorolaco,Allergan,ACULAR LS,"4,0 mg/mL",sol oft,12/11/2012
Trometamol cetorolaco,Allergan,ACULAR,"5,0 mg/mL","",12/11/2012
Cetorolaco de trometamina,Roche,TORADOL,30mg/ml,sol inj,12/11/2012
Cetorolaco de trometamina,Roche,TORADOL,10mg,com revestido,16/05/2013
Tropicamica,Alcon,MYDRIACYL,10mg/mL,sol oft,12/11/2012
Uréia,Galderma,NUTRAPLUS,100 mg/g,crem derm,12/11/2012
Uréia,Galderma,NUTRAPLUS,100 mg/mL,loç derm,12/11/2012
Uréia,Medley,UREADIN,200mg/g,crem derm,12/11/2012
Valaciclovir (cloridrato),Glaxosmithkline,VALTREX,500mg,com rev,12/11/2012
Valproato de sódio,Abbott,DEPACON,100mg/ml,sol inj,12/11/2012
Valproato de sódio,Abbott,DEPAKENE,50mg/mL,xpe,12/11/2012
Valproato de sódio,Abbott,DEPAKENE,300mg,com rev,12/11/2012
Valproato de sódio,Abbott,DEPAKENE,500 mg,com rev,12/11/2012
Valsartana,Novartis Biociências,DIOVAN,40 | 80 | 160 | 320 mg,com rev,12/11/2012
Vancomicina (cloridrato),Antibióticos do Brasil,VANCOCINA  CP,500 | 1000 mg,po liof sol inj,12/11/2012
Vardenafil (cloridrato),Bayer,LEVITRA,"5,0 - 10 - 20 mg",com rev,12/11/2012
Varfarina sódica,Farmoquímica,MAREVAN,"1,0 - 2,0 - 2,5 - 5,0 - 7,5 -",com,12/11/2012
Varfarina sódica (cristalina),Bristol Myers Squibb,COUMADIN,"1,0 - 2,5 - 5,0 mg",com,12/11/2012
Vecurônio (brometo),Cristália,VECURON,4mg/mL e 10mg/mL,po liof sol inj,12/11/2012
Venlafaxina (cloridrato),Wyeth,EFEXOR  XR,"37,5 - 75,0 - 150 mg",cap dura lib prol,12/11/2012
Verapamil (cloridrato),Abbott,DILACORON,120mg,com rev retard,12/11/2012
Verapamil (cloridrato),Abbott,DILACORON,240mg,com rev retard,12/11/2012
Verapamil (cloridrato),Abbott,DILACORON,80mg,com rev,12/11/2012
Verteporfina,Novartis Biociências,VISUDYNE,15mg,po liof sol inj,12/11/2012
Vildagliptina,Novartis Biociências,GALVUS,50 | 100 mg,com,12/11/2012
Vimblastina (sulfato),Antibióticos do Brasil,VELBAN,10mg,po liof sol inj,12/11/2012
Vimblastina (sulfato),Libbs,FAULBLASTINA,1mg/mL,sol inj,12/11/2012
Viminol (hidroxibenzoato),Zambon,DIVIDOL,75mg,cap dura,31/01/2013
Vincristina (sulfato),Zodiac,TECNOCRIS,1mg/mL,sol inj,12/11/2012
Vincristina (sulfato),Antibióticos do Brasil,ONCOVIN,1mg/mL,po liof sol inj,13/03/2013
Vinorelbina (tartarato),Darrow,NAVELBINE,10mg/mL,sol inj,12/11/2012
Voriconazol,Pfizer,VFEND,50 | 200 mg,com rev,12/11/2012
Voriconazol,Pfizer,VFEND,200mg,po liof sol inj,12/11/2012
Xilometazolina (cloridrato),Novartis Biociências,OTRIVINA,1mg/mL,sol got nas,12/11/2012
Zidovudina,Glaxosmithkline,RETROVIR,10mg/mL,sol or,12/11/2012
Zafirlucaste,Astrazeneca,ACCOLATE,20mg,com rev,12/11/2012
Ziprasidona (cloridrato monoidratado),Pfizer,GEODON,40 | 80 mg,cap dura,12/11/2012
"",Pfizer,GEODON,20 mg/mL,po sol  inj,12/11/2012
"Zoledrônico, ácido",Novartis Biociências,ZOMETA,4mg,sol inj,12/11/2012
"Zoledrônico, ácido",Novartis Biociências,ACLASTA,5mg,sol inj,12/11/2012
"Zoledrônico, ácido",Dr. Reddy's,BLAZTERE,4mg,po liof sol inj,12/11/2012
Zolmitriptana,Astrazeneca,ZOMIG,"2,5 mg",com rev,12/11/2012
Zolmitriptana,Astrazeneca,ZOMIG OD,"2,5 mg",com orodisp,12/11/2012
zolpidem ( hemitartarato),EMS,PATZ SL,5mg,com subl,12/11/2012
Zolpiden (hemitartarato),Sanofi-Aventis,STILNOX,10mg,com rev,12/11/2012
Zolpiden (hemitartarato),Sanofi-Aventis,STILNOX CR,"6,25 | 12,5 mg",com multicamada de lib prol,12/11/2012
Zopiclona,Sanofi-Aventis,IMOVANE,"7,5mg",com rev,12/11/2012
